listing_id,listing_name,description,listing_type,room_type,cover_photo_url,photos_count,photo_urls,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,checkin_time,checkout_time,guest_favorite,exact_location,currency,cleaning_fee,extra_guest_fee,single_fee_structure,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_avg_min_nights,ttm_avg_length_of_stay,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_avg_min_nights,l90d_avg_length_of_stay,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
2412694,GR8 Family Vacation Rental,"Cozy 3BR house just a mile to Colonial Williamsburg.Visitor Center<br /><br /><b>The space</b><br />I'm pet friendly, but lets discuss it.<br /><br />Whole house<br /><br />The house is yours to use with respect.<br /><br />Williamsburg - a family vacation destination within a day's drive of half the U.S. population!<br /><br />You will need a car for Williamsburg!<br /><br />This house was built by my Grandparents on a corner of the family property in 1940.  I have spent all of 2013 renovating it.<br /><br /><b>Guest access</b><br />Whole house<br /><br /><b>Other things to note</b><br />This house was built by my Grandparents on a corner of the family property in 1940.  I have spent all of 2013 renovating it.",Entire home,entire_home,https://a0.muscache.com/im/pictures/9b562d18-de9c-4faa-8c6d-a8ddb27f5647.jpg,14,"https://a0.muscache.com/im/pictures/9b562d18-de9c-4faa-8c6d-a8ddb27f5647.jpg,https://a0.muscache.com/im/pictures/37260808/c7a3f6d2_original.jpg,https://a0.muscache.com/im/pictures/37260825/fc7687c2_original.jpg,https://a0.muscache.com/im/pictures/37260831/1d17c27a_original.jpg,https://a0.muscache.com/im/pictures/37260843/3f546fc2_original.jpg,https://a0.muscache.com/im/pictures/37261038/d25faecc_original.jpg,https://a0.muscache.com/im/pictures/37261045/ce60498a_original.jpg,https://a0.muscache.com/im/pictures/37260854/c7acb3ad_original.jpg,https://a0.muscache.com/im/pictures/37260860/af0d21e4_original.jpg,https://a0.muscache.com/im/pictures/37260865/08ac03e1_original.jpg,https://a0.muscache.com/im/pictures/37260872/3ac61898_original.jpg,https://a0.muscache.com/im/pictures/37260888/3545a4ae_original.jpg,https://a0.muscache.com/im/pictures/37260878/675014c5_original.jpg,https://a0.muscache.com/im/pictures/37260899/bb079c5c_original.jpg",11752295,Spence,"","",true,37.2889,-76.6861,8,3,4,2.0,false,"Bathtub,Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Iron,TV,Pack ’n play/Travel crib,High chair,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Patio or balcony,Backyard,BBQ grill,Free parking on premises,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,false,3,Firm,4:00 PM,10:00 AM,false,true,USD,120,0,true,239,4.63,4.7,4.9,4.5,4.9,4.8,4.7,37471.0,37471.0,179.5,179.5,0.496,0.496,88.5,88.5,88.5,88.5,3.2,4.0,181,0,184,365,8755.0,8755.0,189.7,189.7,0.433,0.433,82.6,82.6,82.6,82.6,3.1,3.0,39,0,51,90
3188754,"Williamsburg Vacation Villages 4BR, 4BA","This ad is for weekly rentals beginning on a weekend. The best nightly rate is if you book for 7 nights. Williamsburg is ideal for a family vacation as there is so much to do in the area.<br /><br /><b>The space</b><br />I am an owner of several weeks at Plantation. Therefore, I can offer you reduced prices. The ad is for 4 bedrooms. If you need only 2 BRs, please ask and you will only pay about half the asking price. Other than the airbnb fee, the only other mandatory fee is a $30 resort fee per week for In Unit WIFI, printing and fax, fitness center, DVD and books rentals.<br /><br />The units are equipped with a romantic Jacuzzi tub, a cozy fireplace, and a private patio or balcony. All homes at this resort are professionally decorated and nicely equipped with everything you’ll need including all kitchenware, towels, linens, pillows, blankets, etc. <br /><br />The upstairs and downstairs units will EACH have the following:<br />Master bedroom can have a king bed or 2 twin beds. The 2nd bedroom has a queen bed. There is a pullout sofa bed in the living room.<br /><br /><b>Guest access</b><br />There is a club house and guests can use the indoor and outdoor pools and gym for free. There are tennis courts with basketball hoops too.<br /><br /><b>Other things to note</b><br />Minimum age is 21 to check in. A credit card is needed for a security deposit.",Entire townhouse,entire_home,https://a0.muscache.com/im/pictures/40593975/25f97915_original.jpg,13,"https://a0.muscache.com/im/pictures/40593975/25f97915_original.jpg,https://a0.muscache.com/im/pictures/40593036/46006d30_original.jpg,https://a0.muscache.com/im/pictures/40593026/84ef2f24_original.jpg,https://a0.muscache.com/im/pictures/40593040/aaf94dfd_original.jpg,https://a0.muscache.com/im/pictures/40594101/39c314d4_original.jpg,https://a0.muscache.com/im/pictures/40594092/980eb5cf_original.jpg,https://a0.muscache.com/im/pictures/40593048/995076bb_original.jpg,https://a0.muscache.com/im/pictures/40593958/9af24585_original.jpg,https://a0.muscache.com/im/pictures/40593992/f96f7e4a_original.jpg,https://a0.muscache.com/im/pictures/40593060/36791132_original.jpg,https://a0.muscache.com/im/pictures/40593948/97772c9a_original.jpg,https://a0.muscache.com/im/pictures/40593966/f7f0654d_original.jpg,https://a0.muscache.com/im/pictures/40593984/063740f1_original.jpg",638059,Andy,"","",true,37.3031,-76.7514,12,4,4,4.0,false,"Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Iron,TV,Air conditioning,Indoor fireplace,Heating,Smoke alarm,Fire extinguisher,Wifi,Kitchen,Free parking on premises,Pool,Hot tub,Gym,Luggage dropoff allowed",,false,3,Strict,4:00 PM,10:00 AM,true,false,USD,0,0,true,88,4.85,4.8,4.8,4.7,4.9,5.0,4.9,34431.0,34431.0,335.1,335.1,0.271,0.271,94.3,94.3,94.3,94.3,3.0,4.1,99,0,266,365,5353.0,5353.0,342.3,342.3,0.167,0.167,59.5,59.5,59.5,59.5,3.0,5.0,15,0,75,90
4168187,Colonial Gardens - Library Suite (1st Floor),,Private room in bed and breakfast,private_room,https://a0.muscache.com/im/pictures/prohost-api/Hosting-4168187/original/036764f0-87db-4554-90e9-45a3027284e6.jpeg,35,,14047161,Angela,"214832718,557662826","Kelsey,Benming",false,37.2561,-76.7304,,,1,0.0,false,"TV,Smoke alarm,Wifi,Carbon monoxide alarm,Backyard,Essentials,Free parking on premises,Books and reading material,Pets allowed,Bathtub",,true,1,Moderate,,,,,USD,0,0,,36,4.78,4.7,4.9,4.8,4.9,4.9,4.7,4523.0,4523.0,234.0,234.0,0.058,0.058,12.4,12.4,12.4,12.4,1.0,4.2,21,0,344,365,840.0,840.0,275.7,275.7,0.033,0.033,9.3,9.3,9.3,9.3,1.0,3.0,3,0,87,90
5929718,The Historic Powhatan Resort- 2 Bd weekly,,Entire condo,entire_home,https://a0.muscache.com/im/pictures/73845004/7b561dea_original.jpg,3,,30787515,Brooke,"","",true,37.2622,-76.7682,6,2,3,2.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water,Gym,Hot tub,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Dryer,Smoke alarm,Patio or balcony,Fire extinguisher,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron",,false,6,Strict,,,,,USD,176,0,,39,4.79,4.7,4.8,4.9,5.0,4.9,4.7,2809.0,2809.0,188.7,188.7,0.036,0.036,6.7,6.7,6.7,6.7,6.0,3.3,13,0,352,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0,0,90,90
6181523,The Historic Powhatan Resort- 2 bdrm sleeps 6,,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/77022836/49063832_original.jpg,5,,30787515,Brooke,"","",true,37.2641,-76.7685,6,2,3,2.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water,Gym,Bed linens,Extra pillows and blankets,Hot tub,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Dryer,Smoke alarm,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron",,false,2,Strict,,,,,USD,158,0,,30,4.87,5.0,4.9,4.8,5.0,4.9,5.0,5727.0,5727.0,241.4,241.4,0.068,0.068,14.0,14.0,14.0,14.0,2.4,5.0,25,0,340,365,0.0,0.0,363.1,363.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0,0,90,90
6598569,Williamsburg Manor Bed & Breakfast - Entire Home,,Private room in bed and breakfast,private_room,https://a0.muscache.com/im/pictures/d6ddbf2e-1aae-40ec-bda9-4bed640bd36e.jpg,81,,34519777,Laura,"","",false,37.2754,-76.7149,,6,7,0.0,false,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Pets allowed,Breakfast,Outdoor furniture,Indoor fireplace,Heating,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Private entrance,High chair,Crib,Pack ’n play/Travel crib,Hot water,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Fire pit,Dishes and silverware,Cooking basics,Stove,BBQ grill,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed",,false,2,Strict,,,,,USD,250,0,,11,4.82,5.0,4.6,5.0,4.9,5.0,4.8,16414.0,16414.0,1330.7,1330.7,0.033,0.033,42.2,42.2,42.2,42.2,2.3,3.0,12,0,353,365,0.0,0.0,1402.5,1402.5,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0,0,90,90
6794308,Greensprings Resort- 2 bedroom sleeps 6,,Entire serviced apartment,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6Njc5NDMwOA%3D%3D/original/0a6548e7-5aa4-427a-9ab1-f42bfcd5ef11.jpeg,44,,31214940,Scott,"","",true,37.2653,-76.7965,6,2,3,2.0,false,"Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Iron,TV,Air conditioning,Heating,Smoke alarm,Wifi,Dedicated workspace,Kitchen,Free parking on premises,Pool,Hot tub,Gym",,false,2,Firm,,,,,USD,87,0,false,52,4.87,4.9,4.9,4.9,4.9,4.9,4.9,1861.0,1861.0,134.5,134.5,0.027,0.027,4.4,4.4,4.4,4.4,2.0,1.7,10,0,355,365,0.0,0.0,106.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0,90,90
6896502,Chesapeake - Colonial Capital Bed & Breakfast,This is the Chesapeake Room. With a pencil-post hand crafted queen bed.  Full bathroom with standing shower included.,Private room in bed and breakfast,private_room,https://a0.muscache.com/im/pictures/c5c2b32b-5129-4573-901f-0e0e079836f3.jpg,7,"https://a0.muscache.com/im/pictures/c5c2b32b-5129-4573-901f-0e0e079836f3.jpg,https://a0.muscache.com/im/pictures/c7ec2ed5-3fee-4cf7-93fb-41c429cfdab8.jpg,https://a0.muscache.com/im/pictures/8e3b9da3-8fda-4caf-bb0b-4861f5ea8e80.jpg,https://a0.muscache.com/im/pictures/15af1d99-77bf-42f6-aabe-c9f35e7f1527.jpg,https://a0.muscache.com/im/pictures/8dd05752-75ce-4b1a-83c6-780011f18576.jpg,https://a0.muscache.com/im/pictures/0529721f-f6ba-4546-be6e-f1d6c33b745c.jpg,https://a0.muscache.com/im/pictures/38355bb1-37b5-490b-bf04-7f8001dd24be.jpg",31043336,Kathryn,"","",false,37.2760,-76.7147,,,1,0.0,false,"Hair dryer,Shampoo,Hot water,Essentials,Hangers,Iron,TV,Air conditioning,Wifi,Breakfast",,false,1,Firm,3:00 PM,11:00 AM,true,false,USD,0,0,true,76,4.87,4.9,4.9,5.0,4.8,5.0,4.8,20252.0,20252.0,193.5,193.5,0.288,0.339,55.5,55.5,65.3,65.3,1.1,2.3,105,55,260,365,6708.0,6708.0,228.2,228.2,0.333,0.37,74.5,74.5,82.8,82.8,1.1,2.7,30,9,60,90
6920325,York - Colonial Capital Bed & Breakfast,,Private room in bed and breakfast,private_room,https://a0.muscache.com/im/pictures/c5a67365-5d05-41dd-af20-4beabf643f9f.jpg,8,,31043336,Kathryn,"","",false,37.2759,-76.7139,,,1,0.0,false,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Shampoo,Hangers,Hair dryer,Hot water,Iron",,false,1,Firm,,,,,USD,0,0,,49,4.92,4.9,4.9,4.9,4.9,5.0,4.8,6032.0,6032.0,208.8,208.8,0.085,0.085,16.5,16.5,16.5,16.5,1.2,2.1,31,0,334,365,723.0,723.0,238.9,238.9,0.033,0.033,8.0,8.0,8.0,8.0,1.3,3.0,3,0,87,90
7362372,The Historic Powhatan Resort-  2 bdrm,,Entire guest suite,entire_home,https://a0.muscache.com/im/pictures/93418732/2ab7f474_original.jpg,13,,30787515,Brooke,"","",true,37.2639,-76.7696,6,2,1,2.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water,Gym,Bed linens,Extra pillows and blankets,Hot tub,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Dryer,Smoke alarm,Patio or balcony,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Private entrance",,false,2,Strict,,,,,USD,79,0,,54,4.83,4.8,4.9,4.9,4.8,4.9,4.8,3504.0,3504.0,187.4,187.4,0.044,0.044,8.7,8.7,8.7,8.7,2.0,3.2,16,0,349,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0,90,90
